year,netinc_pos_base,netinc_neg_base,intpaid_pos_base,intpaid_neg_base,dep_pos_base,dep_neg_base,ebitda_pos_base,ebitda_neg_base
2014,522.1222777897885,70.5974258651775,31.656217805641724,-31.656217805641724,58.736145351306355,21.910252178595968,612.5146409467367,-80.34339149222326
2015,550.2349711859592,74.39861166461905,33.34882474633846,-33.34882474633846,63.93746611770684,23.850492706332062,647.5212620500046,-83.89694370462544
2016,572.0089313712804,77.34272189581172,34.32546499538162,-34.32546499538162,65.69782806350987,24.50715776202235,672.0322244301718,-87.161029129171
2017,600.3274277937774,81.17173482409252,36.64940104058481,-36.64940104058481,68.5784706002685,25.581719329508125,705.5552994346307,-92.2394165351692
2018,620.5784455842839,83.90992430187474,39.86778945400778,-39.86778945400778,70.02758053206108,26.122278534579912,730.4738155703527,-97.65543522130261
2019,640.0474118747507,86.54237069006781,43.84119778639349,-43.84119778639349,71.65832174329941,26.730591370952762,755.5469314044436,-103.65297710550854
2020,658.7754872704427,89.07463941443956,47.77263123166724,-47.77263123166724,71.08859125507703,26.51806570049677,777.636709757187,-110.32920494561003
2021,680.5494474557638,92.01874964563223,51.36123681795967,-51.36123681795967,74.04644953111377,27.62143093410025,805.9571338048373,-115.75855552949166
2022,705.8632196938971,95.44148649286,54.59149508697468,-54.59149508697468,76.84973093773863,28.66713460054546,837.3044457186104,-121.36584697928922
2023,733.7701100637415,99.2148451634623,57.410600581655245,-57.410600581655245,79.82923627555796,29.778574803654436,871.0099469209547,-126.8468709414631
2024,763.611548881053,103.24977884515357,59.96835798463784,-59.96835798463784,83.24803862987113,31.053885283832432,906.8279454955618,-132.16425154595896
2025,794.975930093179,107.49063328025528,62.400186265776014,-62.400186265776014,86.70665749187293,32.34404845342529,944.0827738508281,-137.54677109260604
2026,827.8220930948544,111.9318430429996,64.78544693471059,-64.78544693471059,90.18983118242649,33.643371272201,982.7973712119914,-143.07391870550921
2027,862.191198491344,116.57897355915433,67.16990301281412,-67.16990301281412,93.72197418585756,34.960961036955915,1023.0830756900157,-148.78791553501253
