year,dep_Ccorp,dep_Scorp,dep_sp,dep_partner
2000,552.677816,61.551752,32.196159,58.912624
2001,579.009958,67.038799,33.425567,72.199421
2002,629.20456,78.299503,36.642027,82.897056
2003,613.156846,82.261523,41.754963,83.564737
2004,601.59679,86.58853,42.900776,90.230757
2005,460.187126,66.795074,39.080205,70.834176
2006,479.500413,76.305065,39.004511,78.611668
2007,505.197965,82.440013,39.645972,85.921208
2008,637.8397,105.468761,41.446328,129.739268
2009,609.773676,90.415004,34.546428,125.349711
2010,625.751102,89.426819,35.123984,130.060596
2011,752.425942,109.851286,35.615262,172.267579
2012,613.804813,82.560798,34.244946,136.84183
2013,621.038571,89.155046,35.378629,157.618397
