,earnings,sec199,nol,amt,pymtc,pymtc_acc,gbc,ebitda13,foreign_divs,foreign_tax,foreign_other
1998,1317.156491,0,,3.32391,3.432848,,5.601384,,,,
1999,1401.285139,0,,3.049829,3.430138,,4.76155,,,,
2000,1521.58054,0,,3.873324,5.16898,,5.591686,,,,
2001,1427.74977,0,,1.80052,3.254136,,6.741239,,,,
2002,1419.219035,0,,2.532133,2.027542,,8.561583,,,,
2003,1483.875716,0,,2.298661,3.354928,,9.627528,,,,
2004,1625.699833,0,,3.437589,3.73738,,10.724891,,,,
2005,1851.28524,9.339228,,3.338023,7.134046,,13.499478,,,,
2006,1977.868451,11.109676,,3.681078,5.876907,,15.187647,,,,
2007,2021.688193,21.108869,,3.202893,3.166741,,15.78085,,,,
2008,1910.453658,18.424096,,2.308576,1.934185,,11.303518,,,,
2009,1789.601046,14.228154,,3.116572,1.384446,,13.333927,,,,
2010,1952.471839,24.417324,,3.222732,1.540658,,15.448635,,,,
2011,2048.010878,27.405248,,3.437773,1.55901,,19.364719,,,,
2012,2083.646626,32.014203,,3.464907,2.821052,,22.286033,,,,
2013,2206.101354,33.933968,,4.196871,2.01807,26,27.750573,2437.148504,119.5827,75.917432,246.952033
