year,r_d,r_e_c,r_e_nc,pi,f_c,f_nc
2014,0.044,0.058,0.050773926,0.024,0.32,0.29
2015,0.044,0.058,0.050773926,0.024,0.32,0.29
2016,0.044,0.058,0.050773926,0.024,0.32,0.29
2017,0.044,0.058,0.050773926,0.024,0.32,0.29
2018,0.04782,0.06182,0.054593926,0.024,0.32,0.29
2019,0.05204,0.06604,0.058813926,0.024,0.32,0.29
2020,0.05447,0.06847,0.061243926,0.024,0.32,0.29
2021,0.05579,0.06979,0.062563926,0.024,0.32,0.29
2022,0.05657,0.07057,0.063343926,0.024,0.32,0.29
2023,0.05669,0.07069,0.063463926,0.024,0.32,0.29
2024,0.05669,0.07069,0.063463926,0.024,0.32,0.29
2025,0.05669,0.07069,0.063463926,0.024,0.32,0.29
2026,0.05669,0.07069,0.063463926,0.024,0.32,0.29
2027,0.05669,0.07069,0.063463926,0.024,0.32,0.29
2028,0.05669,0.07069,0.063463926,0.024,0.32,0.29
2029,0.05669,0.07069,0.063463926,0.024,0.32,0.29
